,Participants,Masks,Target Location Straight,Target Location Rotate,Layers,Kl Div
786,03,premotor,207,153,2,5.0281715966010285
787,03,premotor,207,153,3,0.39770216008534065
788,03,premotor,207,207,0,514.371722570015
789,03,premotor,207,207,1,17.929738402434097
790,03,premotor,207,207,2,4.914042280666319
791,03,premotor,207,207,3,0.9992338503398146
792,03,premotor,207,45,0,492.97452325155405
793,03,premotor,207,45,1,17.042375085069402
794,03,premotor,207,45,2,3.6498945251042687
795,03,premotor,207,45,3,2.4700136384227935
796,03,premotor,207,99,0,494.8762638303657
797,03,premotor,207,99,1,16.91767029611816
798,03,premotor,207,99,2,4.378350186332317
799,03,premotor,207,99,3,2.271916010892662
800,03,premotor,45,153,0,514.24827351207
801,03,premotor,45,153,1,15.689274282203016
802,03,premotor,45,153,2,4.523395417348569
803,03,premotor,45,153,3,0.00785334182456296
804,03,premotor,45,207,0,512.8510386031269
805,03,premotor,45,207,1,12.449343725528642
806,03,premotor,45,207,2,5.603734954795774
807,03,premotor,45,207,3,0.5298207002752464
808,03,premotor,45,45,0,495.5514198564894
809,03,premotor,45,45,1,14.635298459083018
810,03,premotor,45,45,2,3.7792861908053856
811,03,premotor,45,45,3,0.5812453582118688
812,03,premotor,45,99,0,490.0657404075914
813,03,premotor,45,99,1,13.562701395066659
814,03,premotor,45,99,2,3.529224592726794
815,03,premotor,45,99,3,0.05854850526566063
816,03,premotor,99,153,0,506.4198205067521
817,03,premotor,99,153,1,16.240510769837538
818,03,premotor,99,153,2,5.194857580101562
819,03,premotor,99,153,3,
820,03,premotor,99,207,0,501.34594597021277
821,03,premotor,99,207,1,16.147054704884184
822,03,premotor,99,207,2,4.942103238434038
823,03,premotor,99,207,3,0.038045436189949794
824,03,premotor,99,45,0,488.9896856388384
825,03,premotor,99,45,1,15.965483828894008
826,03,premotor,99,45,2,6.667387514212502
827,03,premotor,99,45,3,0.0471375620009265
828,03,premotor,99,99,0,483.1463293773973
829,03,premotor,99,99,1,14.236314400578827
830,03,premotor,99,99,2,5.030175864840913
831,03,premotor,99,99,3,0.26893544514542145
832,03,motor,153,153,0,211.30116293250097
833,03,motor,153,153,1,16.648428295181702
834,03,motor,153,153,2,4.513936560941303
835,03,motor,153,153,3,0.026053678292871307
836,03,motor,153,207,0,211.50975556898294
837,03,motor,153,207,1,17.7053107823928
838,03,motor,153,207,2,8.087956470273028
839,03,motor,153,207,3,
840,03,motor,153,45,0,215.51481053228935
841,03,motor,153,45,1,19.248221855140486
842,03,motor,153,45,2,3.5932124605820928
843,03,motor,153,45,3,
844,03,motor,153,99,0,212.65656621392245
845,03,motor,153,99,1,15.649275843422446
846,03,motor,153,99,2,6.670857955928645
847,03,motor,153,99,3,0.6357109494593312
848,03,motor,207,153,0,213.72283108836126
849,03,motor,207,153,1,19.46707638351468
