,Participants,Masks,Rotate Direction,Straight Direction,Correlation
522,06,v1,45,45,-0.10199632043824836
523,06,v1,45,99,0.06726080829729757
524,06,v1,99,153,0.06178671775533047
525,06,v1,99,207,0.027733147079063002
526,06,v1,99,45,-0.001760134965285758
527,06,v1,99,99,-0.11079616553743063
528,06,sup_parietal,153,153,0.02579231985642382
529,06,sup_parietal,153,207,-0.09204578562449171
530,06,sup_parietal,153,45,0.04053609091975602
531,06,sup_parietal,153,99,0.08482829529335403
532,06,sup_parietal,207,153,-0.05396929403254708
533,06,sup_parietal,207,207,0.09653086569101509
534,06,sup_parietal,207,45,0.002749369615664606
535,06,sup_parietal,207,99,-0.08302258946264308
536,06,sup_parietal,45,153,-0.031661918449897825
537,06,sup_parietal,45,207,0.023226268353515375
538,06,sup_parietal,45,45,0.03429965228080019
539,06,sup_parietal,45,99,0.01133032990592165
540,06,sup_parietal,99,153,0.03562961378543905
541,06,sup_parietal,99,207,-0.009114828388461548
542,06,sup_parietal,99,45,-0.08122958192196023
543,06,sup_parietal,99,99,0.01755156837745864
544,06,inf_parietal,153,153,0.01035858608329094
545,06,inf_parietal,153,207,-0.029689928108983757
546,06,inf_parietal,153,45,0.03010417714877458
547,06,inf_parietal,153,99,-0.020691611430163143
548,06,inf_parietal,207,153,-0.04166451663157002
549,06,inf_parietal,207,207,0.07770519380279281
550,06,inf_parietal,207,45,-0.021728334980732778
551,06,inf_parietal,207,99,-0.00467790076960263
552,06,inf_parietal,45,153,0.046659517476046714
553,06,inf_parietal,45,207,0.01203656744524443
554,06,inf_parietal,45,45,-0.06475776660805146
555,06,inf_parietal,45,99,-0.009844614667274
556,06,inf_parietal,99,153,0.0064614608971546115
557,06,inf_parietal,99,207,-0.04003096941267312
558,06,inf_parietal,99,45,0.029373614241122722
559,06,inf_parietal,99,99,0.019285273547134725
560,06,v5,153,153,0.058610462207347
561,06,v5,153,207,0.023562002240406242
562,06,v5,153,45,-0.14327338137929818
563,06,v5,153,99,0.03930011985004438
564,06,v5,207,153,-0.05362520141391065
565,06,v5,207,207,0.018247605339301812
566,06,v5,207,45,0.041281100789061304
567,06,v5,207,99,-0.03228582437977358
568,06,v5,45,153,-0.09917421892901204
569,06,v5,45,207,0.1599995828145436
570,06,v5,45,45,0.06544761796772629
571,06,v5,45,99,-0.11830600706073904
572,06,v5,99,153,0.09073875190692442
573,06,v5,99,207,-0.16401201889745187
574,06,v5,99,45,-0.010828266821286896
575,06,v5,99,99,0.10572460452235184
576,07,premotor,153,153,0.03090920710342543
577,07,premotor,153,207,0.031712341959480236
578,07,premotor,153,45,0.018872955935577397
579,07,premotor,153,99,-0.07121347903817551
580,07,premotor,207,153,-0.018884423750397252
581,07,premotor,207,207,-0.015213727271190282
582,07,premotor,207,45,-0.0162964085503121
583,07,premotor,207,99,0.055757364980936815
584,07,premotor,45,153,-0.005918793628292146
585,07,premotor,45,207,-0.006440420485241705
586,07,premotor,45,45,0.004529750370853781
587,07,premotor,45,99,-0.007325326866099657
588,07,premotor,99,153,-0.007337906439388139
589,07,premotor,99,207,-0.011273657633718933
590,07,premotor,99,45,-0.004984072825817004
591,07,premotor,99,99,0.023511166291363163
592,07,motor,153,153,-0.032049270776731434
593,07,motor,153,207,0.10008160695974996
594,07,motor,153,45,-0.006461775982873813
595,07,motor,153,99,-0.029364893972150512
596,07,motor,207,153,0.02240199441900467
597,07,motor,207,207,-0.061908769197996566
598,07,motor,207,45,-0.003369186703879354
599,07,motor,207,99,0.01880886370865177
600,07,motor,45,153,-0.03749265900251129
601,07,motor,45,207,-0.03032669472561411
602,07,motor,45,45,0.02410451663290667
603,07,motor,45,99,0.04646706696489604
604,07,motor,99,153,0.03654210112407209
605,07,motor,99,207,-0.017105867202907642
606,07,motor,99,45,0.005596407591245609
607,07,motor,99,99,-0.031832746409690735
608,07,v1,153,153,0.010401141224126196
609,07,v1,153,207,0.047466348243686285
610,07,v1,153,45,-0.02719973295436562
611,07,v1,153,99,-0.03299847703172784
612,07,v1,207,153,0.0038488997197897376
613,07,v1,207,207,-0.026400443024803703
614,07,v1,207,45,-0.005773917449679157
615,07,v1,207,99,0.04378749015053476
616,07,v1,45,153,-0.029658207950323638
617,07,v1,45,207,-0.04054942030594952
618,07,v1,45,45,0.02794954478761318
619,07,v1,45,99,0.02184059342995309
620,07,v1,99,153,0.02290101122706177
621,07,v1,99,207,0.004191695824433166
622,07,v1,99,45,8.994875809650513e-05
623,07,v1,99,99,-0.017682282074397013
624,07,sup_parietal,153,153,-0.02029092527238988
625,07,sup_parietal,153,207,0.06337370860004522
626,07,sup_parietal,153,45,-0.011805881116288192
627,07,sup_parietal,153,99,-0.011832182629322077
